id;marche;SOURCE;DT_UPDATE;DT_ARRETE;NU_CNT;NOM_CLI;CD_INT_STC;CD_PRD;PTGST;DT_EFF_AFN_CNT;DT_EFF_RESIL_CNT;DT_ECH_AN_CNT;CD_APERIT;TXACPT;INDICE_CNT;NBRE_SITES;CDSIREN;CDTRE_CNT;CDNAF;LCI_G;RESEAU;NM_INT;INTERNATIONAL;SOUS_LIMITE_EV_NAT;MONTANT;SOUS_LIMITE;COMMENTAIRE;BATCH;DICID;ID_SITE;NOM_SITE;DT_MAJ_SITE;DATE_VISITE_SITE;STOCK;CDTRE_1;CDNAF_1;CD_SIRET;QUALITE_JURID;USAGE;TYPE_BIEN;TYPE_RESIDENCE;ETAGE;EXCL_RISQ_LOCATIFS;EXCL_RISQ_BAT;NB_PIECE;SURFACE;SURFACE_DPDCE;PRIME_TTC;PRIME_PTF_ANN_HT;BATIMENT_CLASSE;BATIMENT_OCCUPE;PISCINES;HOTEL_NB_ETOILES;HOTEL_RESTAURANT;HOTEL_NB_CHB;LCI_BAT_CLASSE;LCI_GRD_RISQ;LCI_DEPENDANCE;DATE_EFFET_CAPITAUX;INDICE_CAPITAUX_MURS_BATIMENTS;CAPITAUX_MURS_BATIMENTS;CONTENU;INDICE_CAPITAUX_CONTENU;CAPITAUX_CONTENU;INDICE_CAPITAUX_MATERIELS;CAPITAUX_MATERIEL;INDICE_CAPITAUX_MARCHANDISES;CAPITAUX_MARCHANDISES;INDICE_CAPITAUX_ASS_MH_HLL_CARAV;CAPITAUX_ASS_MH_HLL_CARAV;INDICE_CAPITAUX_DEPENDANCE;CAPITAUX_DEPENDANCE;INDICE_CAPITAUX_COMPL;CAPITAUX_COMPL;INDICE_CAPITAUX_DD;CAPITAUX_DD;MARGE_BRUTE;PERIODE_INDEM_PE;CHIFFAFF_SITE;PERTE_LOYER;INDICE_VAL_PE;VAL_PE;SMP_INITIAL;LCI_GLOB;LCI_ATTENTAT;FRANCHISE_GLOB;UNI_FRAN_GLOB;MIN_FRAN_GLOB;MAX_FRAN_GLOB;FRANCHISE_INC;UNI_FRAN_INC;FRANCHISE_DDE;UNI_FRAN_DDE;FRANCHISE_PE;UNI_FRAN_PE;LIMITE_TGN;FRANCHISE_TGN;UNI_FRAN_TGN;MIN_FRAN_TGN;MAX_FRAN_TGN;NUM_VOIE_SITE;RUE_SITE;NUM_RUE_SITE;LIEU_DIT_SITE;CP_SITE;VILLE_SITE;ADRESSE_SITE;PAYS_SITE;COORD_X_SITE;COORD_Y_SITE;QUALITE_GEOCODAGE;LIMITE_INOND;FRANCHISE_INOND;UNI_FRAN_INOND;LIMITE_TREMB;FRANCHISE_TREMB;UNI_FRAN_TREMB;LIMITE_EMEUTES;FRANCHISE_EMEUTES;UNI_FRAN_EMEUTES;LIMITE_TOC;FRANCHISE_TOC;UNI_FRAN_TOC;TYPE_SITE;CEDANTE;ID_GAREAT;APERITEUR;NOM_APERITEUR;POL_APERITEUR;CD_SIREN_SIRET;CDNAF_GAREAT;LIBNAF_GAREAT;CDSIC;LIBSIC;TX_DEROG_ATT;LCI_MULTISITE;CAPITAUX_TT;RSQ_NUCLEAIRE;RSQ_SEVESO;TRC_TRME;MULTI_SITE;PORTEE_LIGNE;CD_GAR_CAR_FOURNIS;GAR_CAR_FOURNIS;CAR_FOURNIS_NNDENOM;CAR_FOURNIS_ENERGIE;CD_CAR_CLIENT;CAR_CLIENT;CAR_CLIENT_NNDENOM;CAR_CLIENT_ENERGIE;COM_GAREAT;CD_LC360;DICID_SITE
;;IMS;2020-03-31;2026-03-03;59375444;"SOC RAIGI";4A1318;640;N30;2018-07-01;;0701;A;100;;0;712013424;*320;;0;COURTAGE;"GRAS SAVOYE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56066075;"OR BRUN";152669;1065;N20;2016-01-01;;0101;A;100;;0;324632405;*305;;0;COURTAGE;"BERGER ASSURANCES";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59788408;"NS RAIL";H93065;1072;N23;2018-10-12;;0101;A;100;;0;842753709;;;0;AGENCE;"MONTPELLIER EUROPE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;58772664;"CHATEAU DE CORCELLES EN BEAUJO";4F2479;640;N30;2018-01-01;;0101;A;100;;0;633780044;*782;;0;COURTAGE;"AON FRANCE ACC";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;60860550;"YNCREA HAUTS DE FRANCE";181019;640;N31;2019-01-01;;0901;A;48;;0;783706997;*901;;0;COURTAGE;"ASSURANCES VERSPIEREN";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;60620134;XELEK;484648;1065;N30;2019-09-19;;0101;A;100;;0;502136898;*998;;0;COURTAGE;"SIACI SAINT HONORE";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017673394;"AHORRO FAMILIAR/AXA REIM";G36142;MRI;N31;2010-07-01;;0011;C;0.265;;0;492115464;964;;36000000;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;45240643;GRANVILMER;4A8068;1065;N17;2010-01-01;;0101;A;100;;0;342030665;*738;;0;COURTAGE;"LE LITTORAL";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017093753;"EMAILLERIE RHENANE";G13133;MRI;N31;2001-07-01;;0011;A;1;;0;481231603;208;;3625900;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;V5;2020-03-31;2026-03-03;017494962;"CAP 1MMO SUD RES""BAINS DE MER""";G14228;MRI;N30;2007-11-01;;0111;A;1;;0;343142923;948;;19900000;COURTAGE;;0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;58805883;"FINANCIERE DAV";181014;640;N31;2018-01-01;;0101;A;100;;0;383148137;*208;;0;COURTAGE;"GRAS SAVOYE NORD";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;49943444;"CHARGEURS BATTERIES";140093;538;M14;2013-02-21;;1001;A;100;;0;327543781;;;0;COURTAGE;"AIXOISE DE GEST D'ASCES";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;59959511;"DUCHESNE-BOISSIERE ET AUGUSTIN";4F2996;640;N12;2018-12-06;;0101;A;100;;0;357503838;*208;;0;COURTAGE;"GRAS SAVOYE DERO";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;IMS;2020-03-31;2026-03-03;56114027;"GROUPE SIGNATURE";4E0535;1068;N35;2016-02-01;;0201;A;100;;0;;;;0;COURTAGE;"GRAS SAVOYE SA(EX ACTEON)";0;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
